"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6216","Перевірка завантаження розділу Школи","chromium","Fri Apr 18 00:42:10 UTC 2025","passed","Fri Apr 18 00:42:16 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","11588","Перевірка завантаження сторінки Заповнення уроків","chromium","Fri Apr 18 00:43:50 UTC 2025","passed","Fri Apr 18 00:44:02 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5964","Перевірка завантаження сторінки Довідник","chromium","Fri Apr 18 00:45:19 UTC 2025","passed","Fri Apr 18 00:45:25 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","7649","Перевірка завантаження сторінки Відвідування учнів (з причиною)","chromium","Fri Apr 18 00:44:50 UTC 2025","passed","Fri Apr 18 00:44:58 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4627","Перевірка відкриття дропдауну Навчання","chromium","Fri Apr 18 00:44:02 UTC 2025","passed","Fri Apr 18 00:44:07 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5255","Перевірка завантаження сторінки Звіти по класах","chromium","Fri Apr 18 00:45:09 UTC 2025","passed","Fri Apr 18 00:45:14 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4730","Перевірка завантаження розділу Головна сторінка","chromium","Fri Apr 18 00:42:46 UTC 2025","passed","Fri Apr 18 00:42:50 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5578","Перевірка завантаження сторінки Розкладу кабінетів","chromium","Fri Apr 18 00:44:07 UTC 2025","passed","Fri Apr 18 00:44:12 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5779","Перевірка завантаження сторінки Розкладу класу","chromium","Fri Apr 18 00:44:12 UTC 2025","passed","Fri Apr 18 00:44:18 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","10386","Перевірка завантаження сторінки Список Учнів","chromium","Fri Apr 18 00:43:12 UTC 2025","passed","Fri Apr 18 00:43:22 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","7753","Перевірка завантаження розділу Служба підтримки","chromium","Fri Apr 18 00:42:16 UTC 2025","passed","Fri Apr 18 00:42:24 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","6047","Перевірка завантаження сторінки Відвідування учнів (по днях)","chromium","Fri Apr 18 00:44:58 UTC 2025","passed","Fri Apr 18 00:45:04 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5875","Перевірка завантаження сторінки Розклад Учнів","chromium","Fri Apr 18 00:43:22 UTC 2025","passed","Fri Apr 18 00:43:28 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5443","Перевірка завантаження сторінки Відвідування працівників","chromium","Fri Apr 18 00:45:04 UTC 2025","passed","Fri Apr 18 00:45:09 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","7966","Перевірка завантаження сторінки Вчителі","chromium","Fri Apr 18 00:44:42 UTC 2025","passed","Fri Apr 18 00:44:50 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5050","Перевірка завантаження розділу Документи школи","chromium","Fri Apr 18 00:42:41 UTC 2025","passed","Fri Apr 18 00:42:46 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","13977","Перевірка завантаження сторінки Учні","chromium","Fri Apr 18 00:44:28 UTC 2025","passed","Fri Apr 18 00:44:42 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5683","Перевірка завантаження розділу Розкладу","chromium","Fri Apr 18 00:42:56 UTC 2025","passed","Fri Apr 18 00:43:02 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5511","Перевірка завантаження розділу Журналів","chromium","Fri Apr 18 00:42:50 UTC 2025","passed","Fri Apr 18 00:42:56 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5668","Перевірка завантаження сторінки Оголошення","chromium","Fri Apr 18 00:44:18 UTC 2025","passed","Fri Apr 18 00:44:24 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4402","Перевірка відкриття дропдауну Учнів","chromium","Fri Apr 18 00:43:07 UTC 2025","passed","Fri Apr 18 00:43:12 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","6136","Перевірка завантаження розділу Новини платформи","chromium","Fri Apr 18 00:42:24 UTC 2025","passed","Fri Apr 18 00:42:30 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5543","Перевірка завантаження модального вiкна Служби пiдтримки","chromium","Fri Apr 18 00:45:25 UTC 2025","passed","Fri Apr 18 00:45:31 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5979","Перевірка завантаження сторінки Список Вчителів","chromium","Fri Apr 18 00:43:33 UTC 2025","passed","Fri Apr 18 00:43:38 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4415","Перевірка відкриття дропдауну Вчителі","chromium","Fri Apr 18 00:43:28 UTC 2025","passed","Fri Apr 18 00:43:33 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4493","login to Dev","chromium","Fri Apr 18 00:42:10 UTC 2025","passed","Fri Apr 18 00:42:15 UTC 2025","loginToDev","login.spec.ts","",""
"","5155","Перевірка завантаження розділу Користувачі","chromium","Fri Apr 18 00:42:30 UTC 2025","passed","Fri Apr 18 00:42:36 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5046","Перевірка завантаження сторінки Налаштування","chromium","Fri Apr 18 00:45:14 UTC 2025","passed","Fri Apr 18 00:45:19 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5058","Перевірка завантаження розділу Шаблони документів","chromium","Fri Apr 18 00:42:36 UTC 2025","passed","Fri Apr 18 00:42:41 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5359","Перевірка завантаження сторінки Заміни","chromium","Fri Apr 18 00:43:45 UTC 2025","passed","Fri Apr 18 00:43:50 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","4460","Перевірка відкриття дропдауну Статистика","chromium","Fri Apr 18 00:44:24 UTC 2025","passed","Fri Apr 18 00:44:28 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","6445","Перевірка завантаження сторінки Відвідування","chromium","Fri Apr 18 00:43:39 UTC 2025","passed","Fri Apr 18 00:43:45 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
"","5851","Перевірка завантаження розділу Календару подій","chromium","Fri Apr 18 00:43:02 UTC 2025","passed","Fri Apr 18 00:43:07 UTC 2025","Навігація по меню","sidebar-menu.spec.ts","",""
